リンク,漢字,仮名
http://www.wikidata.org/entity/Q556,水素,すいそ
http://www.wikidata.org/entity/Q688,塩素,えんそ
http://www.wikidata.org/entity/Q880,白金,しろがね
http://www.wikidata.org/entity/Q943,黄色,きいろ
http://www.wikidata.org/entity/Q1860,英語,えいご
http://www.wikidata.org/entity/Q2294,陽子,ようこ
http://www.wikidata.org/entity/Q7239,生物,せいぶつ
http://www.wikidata.org/entity/Q8458,人権,じんけん
http://www.wikidata.org/entity/Q9174,宗教,しゅうきょう
http://www.wikidata.org/entity/Q11426,金属,きんぞく
http://www.wikidata.org/entity/Q12861,火薬,かやく
http://www.wikidata.org/entity/Q12876,戦車,せんしゃ
http://www.wikidata.org/entity/Q13991,四国,しこく
http://www.wikidata.org/entity/Q28428,百済,くだら
http://www.wikidata.org/entity/Q28511,夫余,ふよ
http://www.wikidata.org/entity/Q36633,売春,ばいしゅん
http://www.wikidata.org/entity/Q37707,俳句,はいく
http://www.wikidata.org/entity/Q43010,石英,せきえい
http://www.wikidata.org/entity/Q94734,宝島,たからしま
http://www.wikidata.org/entity/Q134737,貴族,きぞく
http://www.wikidata.org/entity/Q139536,馬医,うまい
http://www.wikidata.org/entity/Q140686,会長,かいちょう
http://www.wikidata.org/entity/Q153721,京都,きょうと
http://www.wikidata.org/entity/Q157148,少将,しょうしょう
http://www.wikidata.org/entity/Q161936,死神,しにがみ
http://www.wikidata.org/entity/Q168403,近視,きんし
http://www.wikidata.org/entity/Q181937,易経,えききょう
http://www.wikidata.org/entity/Q185118,宝島,たからしま
http://www.wikidata.org/entity/Q189004,大学,だいがく
http://www.wikidata.org/entity/Q189533,学位,がくい
http://www.wikidata.org/entity/Q197183,張飛,ちょうひ
http://www.wikidata.org/entity/Q207932,冬至,とうじ
http://www.wikidata.org/entity/Q233731,時間,じかん
http://www.wikidata.org/entity/Q243170,文楽,ぶんらく
http://www.wikidata.org/entity/Q335140,河童,かっぱ
http://www.wikidata.org/entity/Q371946,将軍,しょうぐん
http://www.wikidata.org/entity/Q422679,太陽,たいよう
http://www.wikidata.org/entity/Q424857,大字,おおあざ
http://www.wikidata.org/entity/Q452027,幕下,まくした
http://www.wikidata.org/entity/Q452581,君主,くんしゅ
http://www.wikidata.org/entity/Q471993,死神,しにがみ
http://www.wikidata.org/entity/Q476112,身長,しんちょう
http://www.wikidata.org/entity/Q551067,北周,ほくしゅう
http://www.wikidata.org/entity/Q607112,三体,さんたい
http://www.wikidata.org/entity/Q638409,母乳,ぼにゅう
http://www.wikidata.org/entity/Q658486,梅雨,つゆ
http://www.wikidata.org/entity/Q683151,三毒,さんどく
http://www.wikidata.org/entity/Q701746,白起,はくき
http://www.wikidata.org/entity/Q725340,足軽,あしがる
http://www.wikidata.org/entity/Q784426,打率,だりつ
http://www.wikidata.org/entity/Q796897,首相,しゅしょう
http://www.wikidata.org/entity/Q804558,幕末,ばくまつ
http://www.wikidata.org/entity/Q860647,関市,かんし
http://www.wikidata.org/entity/Q875301,厳島,いつくしま
http://www.wikidata.org/entity/Q956844,大老,たいろう
http://www.wikidata.org/entity/Q1045147,補殺,ほさつ
http://www.wikidata.org/entity/Q1071009,国鳥,こくちょう
http://www.wikidata.org/entity/Q1139795,国宝,こくほう
http://www.wikidata.org/entity/Q1140647,速球,そっきゅう
http://www.wikidata.org/entity/Q1181358,厳島,いつくしま
http://www.wikidata.org/entity/Q1189945,電通,でんつう
http://www.wikidata.org/entity/Q1193702,野党,やとう
http://www.wikidata.org/entity/Q1297322,衛星,えいせい
http://www.wikidata.org/entity/Q1316337,破面,はめん
http://www.wikidata.org/entity/Q1326574,死球,しきゅう
http://www.wikidata.org/entity/Q1329805,地頭,じとう
http://www.wikidata.org/entity/Q1378555,混血,こんけつ
http://www.wikidata.org/entity/Q1459905,宇宙,うちゅう
