http://www.wikidata.org/entity/Q1588971,初夢,はつゆめ
http://www.wikidata.org/entity/Q1589524,警部,けいぶ
http://www.wikidata.org/entity/Q1775415,女性,じょせい
http://www.wikidata.org/entity/Q2075410,的屋,てきや
http://www.wikidata.org/entity/Q2608441,大将,たいしょう
http://www.wikidata.org/entity/Q2667755,死神,しにがみ
http://www.wikidata.org/entity/Q2883644,洗礼,せんれい
http://www.wikidata.org/entity/Q2984417,黒人,こくじん
http://www.wikidata.org/entity/Q3137529,列強,れっきょう
http://www.wikidata.org/entity/Q3616853,天使,てんし
http://www.wikidata.org/entity/Q3782954,花火,はなび
http://www.wikidata.org/entity/Q4633585,大隊,だいたい
http://www.wikidata.org/entity/Q4921911,神楽,かぐら
http://www.wikidata.org/entity/Q5209182,大京,だいきょう
http://www.wikidata.org/entity/Q5246665,司祭,しさい
http://www.wikidata.org/entity/Q5308718,近世,きんせい
http://www.wikidata.org/entity/Q5369489,天正,てんしょう
http://www.wikidata.org/entity/Q5562999,銀河,ぎんが
http://www.wikidata.org/entity/P225,学名,がくめい
http://www.wikidata.org/entity/Q6498507,世界,せかい
http://www.wikidata.org/entity/Q6581097,男性,だんせい
http://www.wikidata.org/entity/Q7038679,人間,にんげん
http://www.wikidata.org/entity/Q7684281,白組,しろぐみ
http://www.wikidata.org/entity/Q7749735,細雪,ささめゆき
http://www.wikidata.org/entity/Q9131128,連隊,れんたい
http://www.wikidata.org/entity/Q10753560,学名,がくめい
http://www.wikidata.org/entity/P407,言語,げんご
http://www.wikidata.org/entity/Q10855050,改易,かいえき
http://www.wikidata.org/entity/Q10940502,天皇,てんのう
http://www.wikidata.org/entity/Q11352524,一宮,いちのみや
http://www.wikidata.org/entity/Q11395612,出島,でじま
http://www.wikidata.org/entity/Q11411242,古希,こき
http://www.wikidata.org/entity/Q11446281,女中,じょちゅう
http://www.wikidata.org/entity/Q11516044,月山,がっさん
http://www.wikidata.org/entity/Q11538591,梅田,うめだ
http://www.wikidata.org/entity/Q11539966,森泉,もりいずみ
http://www.wikidata.org/entity/Q11564133,源氏,げんじ
http://www.wikidata.org/entity/Q11571300,犬鳴,いぬなき
http://www.wikidata.org/entity/Q11608774,美優,みゆ
http://www.wikidata.org/entity/Q11653342,文音,あやね
http://www.wikidata.org/entity/Q11746942,冷戦,れいせん
http://www.wikidata.org/entity/Q12599542,氷点,ひょうてん
http://www.wikidata.org/entity/P512,学位,がくい
http://www.wikidata.org/entity/Q13859804,十両,じゅうりょう
http://www.wikidata.org/entity/Q15919268,時間,じかん
http://www.wikidata.org/entity/Q16009153,少将,しょうしょう
http://www.wikidata.org/entity/Q17129727,雲母,うんも
http://www.wikidata.org/entity/Q17157744,時間,じかん
http://www.wikidata.org/entity/Q17222729,雲母,うんも
http://www.wikidata.org/entity/Q17996147,太陽,たいよう
http://www.wikidata.org/entity/Q18110283,軍隊,ぐんたい
http://www.wikidata.org/entity/Q18382802,性別,せいべつ
http://www.wikidata.org/entity/Q18547295,人魚,にんぎょ
http://www.wikidata.org/entity/Q19788937,写真,しゃしん
http://www.wikidata.org/entity/Q19940089,社長,しゃちょう
http://www.wikidata.org/entity/Q22569356,春望,しゅんぼう
http://www.wikidata.org/entity/Q24886135,売血,ばいけつ
http://www.wikidata.org/entity/Q26157631,梅田,うめだ
http://www.wikidata.org/entity/Q27242713,一宮,いちのみや
http://www.wikidata.org/entity/Q29425495,地球,ちきゅう
http://www.wikidata.org/entity/Q38745428,十王,じゅうおう
http://www.wikidata.org/entity/Q38746425,白山,はくさん
http://www.wikidata.org/entity/Q40004779,宇宙,うちゅう
http://www.wikidata.org/entity/Q40160947,武士,ぶし
http://www.wikidata.org/entity/Q48749144,化石,かせき
http://www.wikidata.org/entity/Q48765289,東京,とうきょう
http://www.wikidata.org/entity/Q53841787,時間,じかん
http://www.wikidata.org/entity/Q54810596,三体,さんたい
http://www.wikidata.org/entity/Q63455810,令和,れいわ
http://www.wikidata.org/entity/Q65679974,夏子,なつこ
http://www.wikidata.org/entity/Q83698907,地球,ちきゅう
http://www.wikidata.org/entity/Q86730031,鳥居,とりい
http://www.wikidata.org/entity/Q88916178,太陽,たいよう
http://www.wikidata.org/entity/Q90032927,神宮,じんぐう
http://www.wikidata.org/entity/Q90033351,大関,おおぜき
http://www.wikidata.org/entity/Q97341316,大学,だいがく
http://www.wikidata.org/entity/Q106477978,助六,すけろく
http://www.wikidata.org/entity/Q106478954,助六,すけろく
http://www.wikidata.org/entity/Q108069491,史記,しき
http://www.wikidata.org/entity/Q108778767,人魚,にんぎょ
http://www.wikidata.org/entity/Q110150707,白山,はくさん
http://www.wikidata.org/entity/Q110961788,人権,じんけん
http://www.wikidata.org/entity/Q112233695,守護,しゅご
http://www.wikidata.org/entity/Q112767987,銀座,ぎんざ
http://www.wikidata.org/entity/Q193,土星,どせい
http://www.wikidata.org/entity/Q309,歴史,れきし
http://www.wikidata.org/entity/Q315,言語,げんご
http://www.wikidata.org/entity/Q729,動物,どうぶつ
http://www.wikidata.org/entity/Q3887,日食,にっしょく
http://www.wikidata.org/entity/Q7275,国家,こっか
http://www.wikidata.org/entity/Q9384,精巣,せいそう
http://www.wikidata.org/entity/Q10737,自殺,じさつ
http://www.wikidata.org/entity/Q11197,対数,たいすう
http://www.wikidata.org/entity/Q11424,映画,えいが
http://www.wikidata.org/entity/Q12117,穀物,こくもつ
http://www.wikidata.org/entity/Q12725,電気,でんき
http://www.wikidata.org/entity/Q13987,九州,きゅうしゅう
http://www.wikidata.org/entity/Q22728,母乳,ぼにゅう
http://www.wikidata.org/entity/Q26962,夏菜,かな
http://www.wikidata.org/entity/Q31625,麦茶,むぎちゃ
http://www.wikidata.org/entity/Q34770,言語,げんご
http://www.wikidata.org/entity/Q37151,孫武,そんぶ
http://www.wikidata.org/entity/Q37979,明仁,あきひと
http://www.wikidata.org/entity/Q50053,連星,れんせい
http://www.wikidata.org/entity/Q59126,小説,しょうせつ
http://www.wikidata.org/entity/Q60523,神職,しんしょく
http://www.wikidata.org/entity/Q83460,将軍,しょうぐん
http://www.wikidata.org/entity/Q102538,中隊,ちゅうたい
http://www.wikidata.org/entity/Q120676,太刀,たち
http://www.wikidata.org/entity/Q127933,花火,はなび
http://www.wikidata.org/entity/Q131772,春節,しゅんせつ
http://www.wikidata.org/entity/Q175966,京都,きょうと
http://www.wikidata.org/entity/Q187916,競馬,けいば
http://www.wikidata.org/entity/Q189290,士官,しかん
http://www.wikidata.org/entity/Q198763,下着,したぎ
http://www.wikidata.org/entity/Q208233,天皇,てんのう
http://www.wikidata.org/entity/Q210392,戦死,せんし
http://www.wikidata.org/entity/Q222797,関羽,かんう
http://www.wikidata.org/entity/Q223867,脳死,のうし
http://www.wikidata.org/entity/Q232623,人間,にんげん
http://www.wikidata.org/entity/Q232924,星座,せいざ
http://www.wikidata.org/entity/Q234510,平成,へいせい
http://www.wikidata.org/entity/Q246658,干支,えと
http://www.wikidata.org/entity/Q277621,回天,かいてん
http://www.wikidata.org/entity/Q304673,小隊,しょうたい
http://www.wikidata.org/entity/Q313327,孫権,そんけん
http://www.wikidata.org/entity/Q373562,火星,かせい
http://www.wikidata.org/entity/Q428873,屋号,やごう
http://www.wikidata.org/entity/Q478110,都市,とし
http://www.wikidata.org/entity/Q481303,大将,たいしょう
http://www.wikidata.org/entity/Q543930,良源,りょうげん
http://www.wikidata.org/entity/Q572662,旗本,はたもと
http://www.wikidata.org/entity/Q610409,国花,こっか
http://www.wikidata.org/entity/Q612101,七草,ななくさ
http://www.wikidata.org/entity/Q633235,首相,しゅしょう
http://www.wikidata.org/entity/Q753880,女真,じょしん
http://www.wikidata.org/entity/Q844466,焼肉,やきにく
http://www.wikidata.org/entity/Q887176,君主,くんしゅ
http://www.wikidata.org/entity/Q952591,月山,がっさん
http://www.wikidata.org/entity/Q997380,武豊,たけとよ
http://www.wikidata.org/entity/Q1147037,後漢,ごかん
http://www.wikidata.org/entity/Q1150212,犬神,いぬがみ
http://www.wikidata.org/entity/Q1185471,厳島,いつくしま
http://www.wikidata.org/entity/Q1192450,六道,りくどう
http://www.wikidata.org/entity/Q1194307,梅田,うめだ
http://www.wikidata.org/entity/Q1197864,火山,かざん
http://www.wikidata.org/entity/Q1199966,関白,かんぱく
http://www.wikidata.org/entity/Q1325358,大寒,だいかん
http://www.wikidata.org/entity/Q1331128,使徒,しと
http://www.wikidata.org/entity/Q1336124,将軍,しょうぐん
http://www.wikidata.org/entity/Q1340222,六道,りくどう
http://www.wikidata.org/entity/Q1351234,国司,くにじ
http://www.wikidata.org/entity/Q1362210,首相,しゅしょう
http://www.wikidata.org/entity/Q1373146,文化,ぶんか
http://www.wikidata.org/entity/Q1377879,枝豆,えだまめ
http://www.wikidata.org/entity/Q1438918,女性,じょせい
http://www.wikidata.org/entity/Q1543753,黒幕,くろまく
http://www.wikidata.org/entity/Q1679621,冬至,とうじ
http://www.wikidata.org/entity/Q1757956,和牛,わぎゅう
http://www.wikidata.org/entity/Q1896657,原子,げんし
http://www.wikidata.org/entity/Q1976861,革命,かくめい
http://www.wikidata.org/entity/Q2085736,世界,せかい
http://www.wikidata.org/entity/Q2102452,夢精,むせい
http://www.wikidata.org/entity/Q2220856,死国,しこく
http://www.wikidata.org/entity/Q2267217,節句,せっく
http://www.wikidata.org/entity/Q2351119,緑青,ろくしょう
http://www.wikidata.org/entity/Q2380748,由規,ゆき
http://www.wikidata.org/entity/Q2560242,刀語,かたなご
http://www.wikidata.org/entity/Q2660648,総裁,そうさい
http://www.wikidata.org/entity/Q2719946,側室,そくしつ
http://www.wikidata.org/entity/Q2723523,金星,きんせい
http://www.wikidata.org/entity/Q2727289,力士,りきし
http://www.wikidata.org/entity/Q2736887,中国,ちゅうごく
http://www.wikidata.org/entity/Q2865305,商社,しょうしゃ
http://www.wikidata.org/entity/Q2977103,立山,たてやま
http://www.wikidata.org/entity/Q3036983,整数,せいすう
http://www.wikidata.org/entity/Q3153802,犬神,いぬがみ
http://www.wikidata.org/entity/Q3280545,少将,しょうしょう
http://www.wikidata.org/entity/Q4022535,夜王,よるおう
http://www.wikidata.org/entity/Q4349866,事件,じけん
http://www.wikidata.org/entity/Q4402718,略字,りゃくじ
http://www.wikidata.org/entity/Q4460568,首相,しゅしょう
http://www.wikidata.org/entity/Q5368469,興和,こうわ
http://www.wikidata.org/entity/Q5372424,官位,かんい
http://www.wikidata.org/entity/Q6581072,女性,じょせい
http://www.wikidata.org/entity/Q6849827,三貴,みき
http://www.wikidata.org/entity/Q7304517,赤毛,あかげ
http://www.wikidata.org/entity/Q7686089,歴史,れきし
http://www.wikidata.org/entity/Q7741682,事件,じけん
http://www.wikidata.org/entity/Q7748779,小説,しょうせつ
http://www.wikidata.org/entity/Q8010730,外局,がいきょく
http://www.wikidata.org/entity/Q8084115,漢字,かんじ
http://www.wikidata.org/entity/Q8084122,白山,はくさん
http://www.wikidata.org/entity/Q10856417,竹島,たけしま
http://www.wikidata.org/entity/Q10856419,竹島,たけしま
http://www.wikidata.org/entity/Q10876841,中風,ちゅうぶう
http://www.wikidata.org/entity/Q11060547,幕府,ばくふ
http://www.wikidata.org/entity/Q11239464,馬主,ばしゅ
http://www.wikidata.org/entity/Q11405606,千束,せんぞく
http://www.wikidata.org/entity/Q11442230,天使,てんし
http://www.wikidata.org/entity/Q11452076,官位,かんい
http://www.wikidata.org/entity/Q11452651,宝石,ほうせき
http://www.wikidata.org/entity/Q11486171,座頭,ざとう
http://www.wikidata.org/entity/Q11501780,新宿,しんじゅく
http://www.wikidata.org/entity/Q11532841,林修,はやしおさむ
http://www.wikidata.org/entity/Q11563501,湯女,ゆな
http://www.wikidata.org/entity/Q11579538,白山,はくさん
http://www.wikidata.org/entity/Q11612081,能面,のうめん
http://www.wikidata.org/entity/Q11639555,通名,とおりめい
http://www.wikidata.org/entity/Q11649966,銀座,ぎんざ
http://www.wikidata.org/entity/Q12604744,神話,しんわ
http://www.wikidata.org/entity/Q12617481,竹島,たけしま
http://www.wikidata.org/entity/Q17502985,音楽,おんがく
http://www.wikidata.org/entity/Q18226098,勝信,かつのぶ
http://www.wikidata.org/entity/Q18362440,憲兵,けんぺい
http://www.wikidata.org/entity/Q18458524,林修,はやしおさむ
http://www.wikidata.org/entity/Q18458700,毒親,どくおや
http://www.wikidata.org/entity/Q26437022,大関,おおぜき
http://www.wikidata.org/entity/Q26447191,竹島,たけしま
http://www.wikidata.org/entity/Q26449058,大本,おおもと
http://www.wikidata.org/entity/Q27237746,光永,みつなが
http://www.wikidata.org/entity/Q27237748,光永,みつなが
http://www.wikidata.org/entity/Q27242881,白山,はくさん
http://www.wikidata.org/entity/Q27263710,神宮,じんぐう
http://www.wikidata.org/entity/Q27263743,神宮,じんぐう
http://www.wikidata.org/entity/Q28914848,七夕,たなばた
http://www.wikidata.org/entity/Q38744035,飛地,とびち
http://www.wikidata.org/entity/Q41863069,軍神,ぐんしん
http://www.wikidata.org/entity/Q47092508,百済,くだら
http://www.wikidata.org/entity/Q49677043,桜島,さくらしま
http://www.wikidata.org/entity/Q55272343,画像,がぞう
http://www.wikidata.org/entity/Q56344970,立山,たてやま
http://www.wikidata.org/entity/P6902,元号,げんごう
http://www.wikidata.org/entity/Q69431389,犯罪,はんざい
http://www.wikidata.org/entity/Q83697788,地球,ちきゅう
http://www.wikidata.org/entity/Q90033181,梅田,うめだ
http://www.wikidata.org/entity/Q90035026,白山,はくさん
http://www.wikidata.org/entity/Q108218744,総裁,そうさい
http://www.wikidata.org/entity/Q108558640,雨穴,あめあな
http://www.wikidata.org/entity/Q108882869,音楽,おんがく
http://www.wikidata.org/entity/Q110420017,刀語,かたなご
http://www.wikidata.org/entity/Q110941455,公家,くげ
http://www.wikidata.org/entity/Q112233636,守護,しゅご
http://www.wikidata.org/entity/Q116,君主,くんしゅ
http://www.wikidata.org/entity/Q525,太陽,たいよう
http://www.wikidata.org/entity/Q531,光年,こうねん
http://www.wikidata.org/entity/Q2537,衛星,えいせい
http://www.wikidata.org/entity/Q3198,光子,こうし
http://www.wikidata.org/entity/Q7204,中東,ちゅうとう
http://www.wikidata.org/entity/Q7278,政党,せいとう
http://www.wikidata.org/entity/Q7427,西夏,せいか
http://www.wikidata.org/entity/Q8683,冷戦,れいせん
http://www.wikidata.org/entity/Q9134,神話,しんわ
http://www.wikidata.org/entity/Q10931,革命,かくめい
http://www.wikidata.org/entity/Q11344,元素,げんそ
http://www.wikidata.org/entity/Q11457,木綿,もめん
http://www.wikidata.org/entity/Q11635,演劇,えんげき
http://www.wikidata.org/entity/Q22656,石油,せきゆ
http://www.wikidata.org/entity/Q26530,正祖,せいそ
http://www.wikidata.org/entity/Q33829,人口,じんこう
http://www.wikidata.org/entity/Q34095,青銅,せいどう
http://www.wikidata.org/entity/Q41083,梅毒,ばいどく
http://www.wikidata.org/entity/Q44914,数独,すうどく
http://www.wikidata.org/entity/Q49144,天守,てんしゅ
http://www.wikidata.org/entity/Q52051,対馬,つしま
http://www.wikidata.org/entity/Q52371,連隊,れんたい
http://www.wikidata.org/entity/Q53842,黒潮,くろしお
http://www.wikidata.org/entity/Q83345,割礼,かつれい
http://www.wikidata.org/entity/Q109866,求肥,ぎゅうひ
http://www.wikidata.org/entity/Q153378,平成,へいせい
http://www.wikidata.org/entity/Q154902,東京,とうきょう
http://www.wikidata.org/entity/Q161249,乳酸,にゅうさん
http://www.wikidata.org/entity/Q182559,人魚,にんぎょ
http://www.wikidata.org/entity/Q183573,回族,かいぞく
http://www.wikidata.org/entity/Q183816,修士,しゅうし
http://www.wikidata.org/entity/Q184186,原罪,げんざい
http://www.wikidata.org/entity/Q186516,国旗,こっき
http://www.wikidata.org/entity/Q201487,日活,にっかつ
http://www.wikidata.org/entity/Q202391,競歩,きょうほ
http://www.wikidata.org/entity/Q315553,原敬,はらたかし
http://www.wikidata.org/entity/Q329174,大正,たいしょう
http://www.wikidata.org/entity/Q334445,大隊,だいたい
http://www.wikidata.org/entity/Q372468,雪女,ゆきおんな
http://www.wikidata.org/entity/Q499327,男性,だんせい
http://www.wikidata.org/entity/Q500681,皇居,こうきょ
http://www.wikidata.org/entity/Q589237,天使,てんし
http://www.wikidata.org/entity/Q597663,宇宙,うちゅう
http://www.wikidata.org/entity/Q640673,戦争,せんそう
http://www.wikidata.org/entity/Q701326,張良,ちょうりょう
http://www.wikidata.org/entity/Q720644,浅草,あさくさ
http://www.wikidata.org/entity/Q738793,軍刀,ぐんとう
http://www.wikidata.org/entity/Q774176,競輪,けいりん
http://www.wikidata.org/entity/Q831137,天皇,てんのう
http://www.wikidata.org/entity/Q836198,新宿,しんじゅく
http://www.wikidata.org/entity/Q837262,花火,はなび
http://www.wikidata.org/entity/Q842563,氷青,こおりあお
http://www.wikidata.org/entity/Q843533,乳輪,にゅうりん
http://www.wikidata.org/entity/Q859955,国人,くにびと
http://www.wikidata.org/entity/Q1072949,前漢,ぜんかん
http://www.wikidata.org/entity/Q1074150,幕府,ばくふ
http://www.wikidata.org/entity/Q1137062,馬雲,うまくも
http://www.wikidata.org/entity/Q1142558,黄泉,よみ
http://www.wikidata.org/entity/Q1169095,神話,しんわ
http://www.wikidata.org/entity/Q1194121,天明,てんめい
http://www.wikidata.org/entity/Q1272718,道鏡,どうきょう
http://www.wikidata.org/entity/Q1316445,家老,かろう
http://www.wikidata.org/entity/Q1325419,元治,げんじ
http://www.wikidata.org/entity/Q1327357,漢服,かんふく
http://www.wikidata.org/entity/Q1332242,東急,とうきゅう
http://www.wikidata.org/entity/Q1396900,中将,ちゅうじょう
http://www.wikidata.org/entity/Q1516405,白夜,びゃくや
http://www.wikidata.org/entity/Q1786531,精通,せいつう
http://www.wikidata.org/entity/Q2046665,中将,ちゅうじょう
http://www.wikidata.org/entity/Q2259532,司祭,しさい
http://www.wikidata.org/entity/Q2363557,花火,はなび
http://www.wikidata.org/entity/Q2406940,円空,えんくう
http://www.wikidata.org/entity/Q2471478,対馬,つしま
http://www.wikidata.org/entity/Q2986426,国宝,こくほう
http://www.wikidata.org/entity/Q3232745,化石,かせき
http://www.wikidata.org/entity/Q3241972,文字,もじ
http://www.wikidata.org/entity/Q3254959,人種,じんしゅ
http://www.wikidata.org/entity/Q3297843,修士,しゅうし
http://www.wikidata.org/entity/Q3661964,銀座,ぎんざ
http://www.wikidata.org/entity/Q4357164,同心,どうしん
http://www.wikidata.org/entity/Q4390090,大映,だいえい
http://www.wikidata.org/entity/Q4620674,性器,せいき
http://www.wikidata.org/entity/Q4753398,時間,じかん
http://www.wikidata.org/entity/Q4807592,朝臣,あそん
http://www.wikidata.org/entity/Q5368942,天保,てんぽう
http://www.wikidata.org/entity/Q6382533,大隊,だいたい
http://www.wikidata.org/entity/Q6451216,中将,ちゅうじょう
http://www.wikidata.org/entity/Q6785193,修士,しゅうし
http://www.wikidata.org/entity/Q7827817,年寄,としより
http://www.wikidata.org/entity/Q8525293,白山,はくさん
http://www.wikidata.org/entity/Q9335294,洗礼,せんれい
http://www.wikidata.org/entity/Q10833317,武士,ぶし
http://www.wikidata.org/entity/Q11376196,人間,にんげん
http://www.wikidata.org/entity/Q11388480,光永,みつなが
http://www.wikidata.org/entity/Q11397015,刻刻,こくこく
http://www.wikidata.org/entity/Q11433349,大名,だいみょう
http://www.wikidata.org/entity/Q11540942,検校,けんぎょう
http://www.wikidata.org/entity/Q11556779,流鉄,りゅうてつ
http://www.wikidata.org/entity/Q11591025,神階,しんかい
http://www.wikidata.org/entity/Q11637440,軍神,ぐんしん
http://www.wikidata.org/entity/Q12601604,石油,せきゆ
http://www.wikidata.org/entity/Q12889843,春分,しゅんぶん
http://www.wikidata.org/entity/Q13391392,士業,しぎょう
http://www.wikidata.org/entity/Q15663789,東京,とうきょう
http://www.wikidata.org/entity/Q16200341,張良,ちょうりょう
http://www.wikidata.org/entity/Q17081909,暗殺,あんさつ
http://www.wikidata.org/entity/Q17219001,白夜,びゃくや
http://www.wikidata.org/entity/Q17238987,一宮,いちのみや
http://www.wikidata.org/entity/Q17488164,七草,ななくさ
http://www.wikidata.org/entity/Q18024342,春望,しゅんぼう
http://www.wikidata.org/entity/Q18383546,行列,ぎょうれつ
http://www.wikidata.org/entity/Q18458527,林修,はやしおさむ
http://www.wikidata.org/entity/Q19317584,周庭,しゅうにわ
http://www.wikidata.org/entity/Q19801741,暗殺,あんさつ
http://www.wikidata.org/entity/Q20038222,大本,おおもと
http://www.wikidata.org/entity/Q20044089,黒潮,くろしお
http://www.wikidata.org/entity/Q22125560,神宿,かみやど
http://www.wikidata.org/entity/Q24890157,間組,はざまぐみ
http://www.wikidata.org/entity/Q25339110,教授,きょうじゅ
http://www.wikidata.org/entity/Q26437017,大関,おおぜき
http://www.wikidata.org/entity/Q26437483,対馬,つしま
http://www.wikidata.org/entity/Q26449054,大本,おおもと
http://www.wikidata.org/entity/Q27157565,立山,たてやま
http://www.wikidata.org/entity/Q27263738,神宮,じんぐう
http://www.wikidata.org/entity/Q27777837,黄色,きいろ
http://www.wikidata.org/entity/Q27795753,国宝,こくほう
http://www.wikidata.org/entity/Q28414859,大社,たいしゃ
http://www.wikidata.org/entity/Q47277924,春望,しゅんぼう
http://www.wikidata.org/entity/Q60457674,五常,ごじょう
http://www.wikidata.org/entity/Q65290550,鉄道,てつどう
http://www.wikidata.org/entity/Q65290690,銀座,ぎんざ
http://www.wikidata.org/entity/Q93278974,氷点,ひょうてん
http://www.wikidata.org/entity/Q97188076,大丸,だいまる
http://www.wikidata.org/entity/Q97202358,大将,たいしょう
http://www.wikidata.org/entity/Q102247771,金星,きんせい
http://www.wikidata.org/entity/Q107352034,化石,かせき
http://www.wikidata.org/entity/Q111513390,黄泉,よみ
http://www.wikidata.org/entity/Q629,酸素,さんそ
http://www.wikidata.org/entity/Q748,仏教,ぶっきょう
http://www.wikidata.org/entity/Q1845,聖書,せいしょ
http://www.wikidata.org/entity/Q7163,政治,せいじ
http://www.wikidata.org/entity/Q8201,漢字,かんじ
http://www.wikidata.org/entity/Q9121,原子,げんし
http://www.wikidata.org/entity/Q9598,道教,どうきょう
http://www.wikidata.org/entity/Q9612,子宮,しきゅう
http://www.wikidata.org/entity/Q11412,重力,じゅうりょく
http://www.wikidata.org/entity/Q12171,月経,げっけい
http://www.wikidata.org/entity/Q12503,整数,せいすう
http://www.wikidata.org/entity/Q12554,中世,ちゅうせい
http://www.wikidata.org/entity/Q14212,首相,しゅしょう
http://www.wikidata.org/entity/Q16502,世界,せかい
http://www.wikidata.org/entity/Q23538,赤道,せきどう
http://www.wikidata.org/entity/Q23718,方位,ほうい
http://www.wikidata.org/entity/Q25235,時間,じかん
http://www.wikidata.org/entity/Q25322,北極,ほっきょく
http://www.wikidata.org/entity/Q29520,中国,ちゅうごく
http://www.wikidata.org/entity/Q32483,文字,もじ
http://www.wikidata.org/entity/Q38423,軽油,けいゆ
http://www.wikidata.org/entity/Q42603,司祭,しさい
http://www.wikidata.org/entity/Q43115,聖人,せいじん
http://www.wikidata.org/entity/Q44337,行列,ぎょうれつ
http://www.wikidata.org/entity/Q49008,素数,そすう
http://www.wikidata.org/entity/Q160857,馬力,ばりき
http://www.wikidata.org/entity/Q163727,学士,がくし
http://www.wikidata.org/entity/Q170417,口径,こうけい
http://www.wikidata.org/entity/Q202298,茶道,さどう
http://www.wikidata.org/entity/Q204481,極右,きょくう
http://www.wikidata.org/entity/Q214199,重油,じゅうゆ
http://www.wikidata.org/entity/Q224689,西行,さいぎょう
http://www.wikidata.org/entity/Q242182,教皇,きょうこう
http://www.wikidata.org/entity/Q251395,赤軍,せきぐん
http://www.wikidata.org/entity/Q256490,将軍,しょうぐん
http://www.wikidata.org/entity/Q273125,弓道,きゅうどう
http://www.wikidata.org/entity/Q276015,論語,ろんご
http://www.wikidata.org/entity/Q287709,少将,しょうしょう
http://www.wikidata.org/entity/Q313336,神農,しんのう
http://www.wikidata.org/entity/Q318064,道元,どうげん
