漢字,仮名
洞毛,どうもう
触毛,しょくもう
震毛,しんもう
涙丘,るいきゅう
涙器,るいき
涙嚢,るいのう
涙点,るいてん
涙腺,るいせん
涙骨,るいこつ
溝,こう
裂溝,れっこう
滑液,かつえき
関節液,かんせつえき
滑膜,かつまく
漿膜,しょうまく
爪,つめ
ツメ,つめ
爪根,そうこん
牙,きば
毒牙,どくが
キバ,きば
犬歯,けんし
環椎,かんつい
第1頚椎,だいいちけいつい
第1頸椎,だいいちけいつい
産毛,うぶげ
毳,うぶげ
うぶ毛,うぶげ
にこ毛,にこげ
和毛,にこげ
毳毛,うぶげ
疑核,ぎかく
白体,はくたい
白質,はくしつ
皮脂,ひし
てかつき,てかつき
てかり,てかり
べたつき,べたつき
皮膚,ひふ
肌,はだ
皮骨,ひこつ
膜性骨,まくせいこつ
盲孔,もうこう
前頭骨の盲孔,ぜんとうこつのもうこう
盲腸,もうちょう
直回,ちょくかい
直腸,ちょくちょう
眉毛,まゆげ
眉,まゆ
まゆ毛,まゆげ
眉間,みけん
グラベラ,ぐらべら
みけん,みけん
眉間点,みけんてん
真皮,しんぴ
眼,がん
目,め
眼球,がんきゅう
眼瞼,がんけん
瞼,まぶた
𥇥,まぶた
まぶた,まぶた
目蓋,まぶた
眼𥇥,がんけん
眼窩,がんか
眼胞,がんほう
眼角,がんかく
瞳孔,どうこう
瞼板,けんばん
砂嚢,さのう
砂肝,すなぎも
砧骨,きぬたこつ
きぬた骨,きぬたこつ
キヌタ骨,きぬたこつ
硬皮,こうひ
強皮,きょうひ
節片,せっぺん
硬膜,こうまく
脳硬膜,のうこうまく
神経,しんけい
度胸,どきょう
空腸,くうちょう
窓,まど
窩,か
穴,あな
くぼみ,くぼみ
笑筋,しょうきん
筋肉,きんにく
筋,きん
筋器官,きんきかん
筋組織,きんそしき
筋腹,きんぷく
筋膜,きんまく
筋頭,きんとう
管,かん
篩板,しばん
篩骨,しこつ
粗線,そせん
粘液,ねんえき
精嚢,せいのう
精囊,せいのう
精巣,せいそう
睾丸,こうがん
玉,たま
金玉,きんたま
玉袋,たまぶくろ
ふぐり,ふぐり
精液,せいえき
射精液,しゃせいえき
精管,せいかん
輸精管,ゆせいかん
精索,せいさく
糞,ふん
うんち,うんち
大便,だいべん
うんこ,うんこ
ウンコ,うんこ
くそ,くそ
クソ,くそ
糞便,ふんべん
終板,しゅうばん
組織,そしき
体組織,たいそしき
結腸,けっちょう
結膜,けつまく
網嚢,もうのう
網膜,もうまく
綿羽,めんう
ダウンフェザー,だうんふぇざー
脂粉,しふん
縁溝,えんこう
帯状溝辺縁枝,たいじょうこうへんえんし
帯状溝辺縁部,たいじょうこうへんえんぶ
縦隔,じゅうかく
縫合,ほうごう
羊水,ようすい
羊膜,ようまく
羽毛,うもう
羽根,はね
ダイクテクスチャー組織,だいくてくすちゃーそしき
羽衣,うい
翼,つばさ
耳,みみ
耳介,じかい
耳垢,じこう
耳あか,みみあか
耳くそ,みみくそ
耳クソ,みみくそ
耳屎,じし
耳糞,みみくそ
耳珠,じじゅ
耳石,じせき
平衡砂,へいこうさ
耳管,じかん
エウスタキオ管,えうすたきおかん
ユースタキー管,ゆーすたきーかん
耳輪,じりん
へリックス,へりっくす
肋間,ろっかん
肋骨,ろっこつ
あばら骨,あばらぼね
肘,ひじ
肱,ひじ
臂,ひじ
肘筋,ちゅうきん
