漢字,仮名
司馬,しば
予後,よご
姉妹,しまい
反例,はんれい
筆箱,ふでばこ
山城,やましろ
魚肉,ぎょにく
成家,なりいえ
氷期,ひょうき
講義,こうぎ
三体,さんたい
長堂,ちょうどう
運指,うんし
成公,せいこう
招待,しょうたい
外耳,がいじ
銀貨,ぎんか
夏県,なつけん
豊干,ゆたかかん
軍郷,ぐんさと
統覚,とうかく
教室,きょうしつ
非難,ひなん
不信,ふしん
編隊,へんたい
愛人,あいじん
職場,しょくば
元和,げんな
母乳,ぼにゅう
格間,ごうま
内閣,ないかく
灯明,とうみょう
仏性,ぶっしょう
個性,こせい
武公,ぶこう
宣公,せんこう
手組,てくみ
投書,とうしょ
田上,たがみ
梅雨,つゆ
天武,てんむ
公人,きみひと
岩脈,がんみゃく
紅夢,くれないゆめ
卵歯,らんし
名人,めいじん
三毒,さんどく
衛青,えいせい
白起,はくき
張英,ちょうえい
有罪,ゆうざい
黄権,こうけん
王連,おうれん
東人,あずまひと
武公,ぶこう
北区,きたく
明宗,めいしゅう
北区,きたく
張休,ちょうきゅう
白丁,はくちょう
神宗,しんそう
済公,すみこう
台制,だいせい
大山,おおやま
張布,ちょうぬの
成公,せいこう
良弁,りょうべん
常温,じょうおん
足軽,あしがる
東区,ひがしく
俳文,はいぶん
若林,わかばやし
民会,みんかい
雪玉,ゆきだま
馬良,ばりょう
五明,ごみょう
織工,しょっこう
晩春,ばんしゅん
星川,ほしかわ
楽園,らくえん
散打,さんだ
眼帯,がんたい
定公,ていこう
司教,しきょう
長歌,ちょうか
後半,こうはん
打率,だりつ
個体,こたい
積算,せきさん
谷東,たにひがし
首相,しゅしょう
城山,しろやま
春月,しゅんげつ
幕末,ばくまつ
基線,きせん
状態,じょうたい
回心,えしん
連帯,れんたい
木工,もっこう
山神,さんしん
九歌,きゅううた
雲量,うんりょう
永楽,えいらく
河平,かわたいら
枝角,えだづの
校正,こうせい
相輪,そうりん
建始,けんし
周通,しゅうとおり
真情,しんじょう
建元,けんげん
張清,ちょうきよし
葉序,ようじょ
太初,たいしょ
太康,たやすし
済水,すみみず
理想,りそう
春雨,はるさめ
徳島,とくしま
入試,にゅうし
諸王,しょおう
永康,えいこう
銭復,せんふく
油角,あぶらかく
東安,とうあん
極値,きょくち
断面,だんめん
気温,きおん
船橋,ふなばし
収益,しゅうえき
地区,ちく
北区,きたく
張横,ちょうおう
軍政,ぐんせい
調律,ちょうりつ
四大,よんだい
関市,かんし
石勇,せきゆう
骨材,こつざい
原駅,はらえき
合有,ごうゆう
厳島,いつくしま
書経,しょきょう
茶太,ちゃた
義務,ぎむ
血粉,けっぷん
景公,けいこう
火船,ひふね
仕事,しごと
帰属,きぞく
王喜,おうき
改宗,かいしゅう
己未,つちのとひつじ
関統,かんとう
可逆,かぎゃく
石貨,いしか
正村,まさむら
宮坂,みやさか
横車,よこぐるま
通路,つうろ
古本,ふるほん
時課,ときか
茶室,ちゃしつ
交子,こうし
青島,あおしま
大老,たいろう
夕暮,ゆうぐれ
多多,たた
公式,こうしき
道着,どうぎ
単位,たんい
公告,こうこく
湯治,とうじ
赤町,あかまち
対策,たいさく
団体,だんたい
南区,みなみく
西区,にしく
小島,こじま
孫礼,まごれい
補殺,ほさつ
王方,おうほう
地区,ちく
死票,しひょう
境野,さかいの
証言,しょうげん
導出,どうしゅつ
青磁,せいじ
一命,いちめい
支点,してん
鉄棒,てつぼう
脈石,みゃくいし
説話,せつわ
投球,とうきゅう
重体,じゅうたい
音圧,おんあつ
三身,さんみ
国鳥,こくちょう
茶屋,ちゃや
体型,たいけい
針女,はりおんな
波山,なみやま
西区,にしく
天安,てんなん
垂水,たるみ
部隊,ぶたい
植村,うえむら
長波,ちょうは
米田,よねだ
上月,こうづき
結集,けっしゅう
共公,ともこう
間性,かんせい
聖母,せいぼ
重心,じゅうしん
帰郷,ききょう
借方,かりかた
馬肉,ばにく
武蔵,むさし
牛金,うしきん
西区,にしく
年輪,ねんりん
国宝,こくほう
察度,さっと
速球,そっきゅう
松島,まつしま
延宝,えんぽう
心宿,こころやど
西湖,さいこ
構文,こうぶん
黄緑,きみどり
垂木,たるき
告発,こくはつ
北区,きたく
複写,ふくしゃ
束帯,そくたい
馬学,うまがく
定王,ていおう
染色,せんしょく
道士,どうし
B線,Bせん
定遠,ていえん
飯田,いいだ
川西,かわにし
厳島,いつくしま
若月,わかつき
定性,ていせい
六書,りくしょ
軍配,ぐんばい
電通,でんつう
事象,じしょう
正子,まさこ
参宿,しんしゅく
永承,えいしょう
大永,だいえい
承保,じょうほう
延久,のぶひさ
野党,やとう
健忘,けんぼう
承徳,しょうとく
承安,しょうあん
承元,じょうげん
建仁,けんにん
単打,たんだ
雲県,くもけん
北朝,ほくちょう
栄駅,さかええき
荷物,にもつ
栄町,さかえまち
古文,こぶん
水色,みずいろ
肉牛,にくぎゅう
孝王,こうおう
赤潮,あかしお
下血,げけつ
高砂,たかさご
島原,しまばら
作者,さくしゃ
肉屋,にくや
脳弓,のうゆみ
説得,せっとく
支配,しはい
岩本,いわもと
胸管,むねかん
白子,しらこ
糖化,とうか
面束,めんそく
感度,かんど
内皮,ないひ
衛星,えいせい
通性,つうせい
太白,たいはく
建始,けんし
洋河,ひろしかわ
下関,しものせき
海城,かいじょう
骨女,ほねおんな
切土,きりど
織物,おりもの
破面,はめん
分銅,ふんどう
財神,ざいしん
工兵,こうへい
承平,しょうへい
小刀,こがたな
死球,しきゅう
応長,おうちょう
地頭,じとう
圧密,あつみつ
浅田,あさだ
裏街,うらまち
容県,ようけん
幕間,まくま
仁和,にわ
法服,ほうふく
序文,じょぶん
深山,みやま
形相,ぎょうそう
新人,しんじん
混血,こんけつ
外延,がいえん
実生,みしょう
因子,いんし
実技,じつぎ
混色,こんしょく
鼻鏡,はなかがみ
順列,じゅんれつ
馬面,うまずら
四書,しかき
波束,はそく
弁明,べんめい
弟子,でし
買弁,ばいべん
体節,たいせつ
川底,かわぞこ
供石,ともいし
連山,れんざん
昭公,しょうこう
親交,しんこう
寄人,よりゅうど
宇宙,うちゅう
腹巻,はらまき
士気,しき
通信,つうしん
福本,ふくもと
木魚,もくぎょ
標尺,しるべしゃく
足利,あしかが
合宿,がっしゅく
詩集,ししゅう
劇画,げきが
白雪,しらゆき
確実,かくじつ
収入,しゅうにゅう
楽屋,がくや
資源,しげん
群像,ぐんぞう
羽黒,はぐろ
平行,へいこう
布告,ふこく
神通,しんつう
初夢,はつゆめ
警部,けいぶ
平手,ひらて
間宮,まみや
血便,けつべん
小部,こべ
火花,ひばな
塩場,しおば
同種,どうしゅ
大橋,おおはし
解池,かいいけ
神谷,かみや
運用,うんよう
呼出,よびだし
絶望,ぜつぼう
連盟,れんめい
原文,げんぶん
大権,たいけん
警告,けいこく
民宿,みんしゅく
残飯,ざんぱん
女性,じょせい
連合,れんごう
共円,ともえん
暴行,ぼうこう
消失,しょうしつ
後海,のちうみ
市長,しちょう
清談,せいだん
道生,みちお
上座,かみざ
年画,ねんが
引受,ひきうけ
反切,はんせつ
松原,まつばら
花式,はなしき
誤解,ごかい
宮内,みやうち
律詩,りっし
武田,たけだ
副木,ふくぎ
選鉱,せんこう
同意,どうい
等級,とうきゅう
機関,きかん
類骨,るいほね
屋台,やたい
預流,よりゅう
的屋,てきや
新潮,しんちょう
属性,ぞくせい
精度,せいど
点野,てんの
流星,りゅうせい
教祖,きょうそ
水注,みずちゅう
帯化,おびか
陽樹,はるき
文体,ぶんたい
一来,いちらい
新党,しんとう
素顔,すがお
石材,せきざい
染色,せんしょく
羽葉,はねは
骨幹,こっかん
清弁,しょうべん
害虫,がいちゅう
法束,ほうそく
死法,しほう
南西,なんせい
高畑,たかはた
田中,たなか
氷舌,こおりした
水注,みずちゅう
番兵,ばんぺい
染付,そめつけ
段列,だんれつ
早波,そうなみ
岸波,きしなみ
激愛,げきあい
内田,うちだ
正義,せいぎ
集合,しゅうごう
合憲,ごうけん
天馬,てんま
手形,てがた
十界,じゅうかい
食神,しょくじん
関同,かんどう
T木,Tき
再演,さいえん
算額,さんがく
腹帯,はらおび
発散,はっさん
児化,じか
親潮,おやしお
背側,せがわ
大将,たいしょう
中川,なかがわ
海軍,かいぐん
