あお
あおいろ
あおげ
あおみどり
あか
あかげ
いろ
えんじ
えんじいろ
おれんじいろ
かしょく
きいろ
きみどり
きんいろ
きんじき
ぎんいろ
くりーむいろ
くろ
げんしょく
こうはく
こうよう
こくしょく
さくらいろ
しきちょう
しらが
しろ
しろくろ
しんく
じゅんぱく
せいせいいろ
せきしょく
そらいろ
たいしょく
たまごいろ
たんしょく
ちゃいろ
とくしょく
とりのこいろ
はいいろ
はくしょく
ひわいろ
べにいろ
ほしょく
みずいろ
みどり
むらさき
もえぎ
りょくしょく
アジュア
アジュール
アスール
アズーウ
アプリコット
アンバー
アーミン
イエロー
エクリュ
エンジ
カラー
キャメル
クリーム
グリーン
グレイ
グレー
サモエド
シアン
シェンナ
スカーレット
ステイン
ストロー
セピア
タン
ネイビー
バフ
パープル
ヒトの
ピュース
ピンク
ピーチ
フクシア
フクシャ
ブラウン
ブラック
ブルー
ブロンド
ペッシュ
ホワイト
マゼンタ
マゼンダ
マルーン
モノクロ
モノクローム
モーブ
レッド
ヴェア

