あし
あたま
えきたい
おやゆび
かお
がんめん
きかん
きたい
きょうぶ
きんぎょく
きんにく
ぎゅうにゅう
くち
くび
けっかん
けつえき
こたい
しきゅう
した
しょうすい
しょうちょう
しょうべん
しょうよう
しょくどう
しんけい
じょうみゃく
じんたい
すじ
せ
せいえき
せいそう
せなか
そしき
ぞうき
たいもう
たま
だいちょう
だいべん
ちち
てん
とうぶ
どうみゃく
どきょう
ないぞう
はいぶ
はいめん
はら
ひたい
ふくぶ
ほね
みみ
みやぞう
むね
めんたい
りょうて

